title,company,location,salary,skills,url,skills_normalized
Staff Pajak,PT Indoparts Mobile Phones,Penjaringan,Rp 5 jt-6 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/990e7eba-d642-4cbe-86f0-395b706490bd?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,Hamzah Batik,Kapanewon Gamping,"Rp 2,7 jt-3,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/ae249d19-4add-4e08-9e17-ef4b44b52b91?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
staff pajak,PT. Wowin Purnomo Putera,Pogalan,"Rp 2,3 jt-2,6 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/ba7b8ebb-f924-41cb-bf71-26983d4794fe?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staf Pajak,PT. INDRICIPTA ADITAMA,Bojongloa Kidul,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staf-pajak/8417759d-0787-49cd-88dd-2177e8d9af7f?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT Sinergi Satria Perkasa,Tanah Sareal,"Rp 4 jt-4,7 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/59f4c967-81c1-4370-97d7-50571759e1d0?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
STAFF PAJAK,PT Belanja Royal Makmur,Medan Perjuangan,Rp 3 jt-4 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/b0b6ae36-57f5-43f1-9de6-47bd7f68a72e?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
STAFF PAJAK,Syaamil Group,Kiaracondong,"Rp 3,7 jt-4,4 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/1d3b0a20-325f-44ce-b21e-f32362cb1c89?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT IMB Group,Makassar,"Rp 3 jt-3,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/77dcb315-bc15-4715-950a-b440b081147f?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Tax Staff (Staf Pajak),SC Advisory,Cengkareng,Rp 4 jt-6 jt,,https://glints.com/id/opportunities/jobs/tax-staff-staf-pajak/0493d4c5-55d6-40ff-8bad-40dd219b90a8?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak (Tax Staff),GRAHA MULTI BINTANG,Salahutu,"Rp 3,3 jt-3,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak-tax-staff/852254be-c01e-46d1-8a8f-e20e7663b380?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
STAFF PAJAK (TAX),Armey Floristry,Serengan,"Rp 2,5 jt-3 jt",,https://glints.com/id/opportunities/jobs/staff-pajak-tax/362dac30-4cfb-43b5-bf94-5cd858a41cc9?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staf Pajak,PT Herba Emas Wahidatama,Purbalingga,"Rp 2,5 jt",,https://glints.com/id/opportunities/jobs/staf-pajak/6ee81c68-0f5a-4999-b25f-8e8e8415eab8?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
staff pajak,PT Meico Consultant Indonesia,Penjaringan,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/a5be64bb-e1ef-4b80-aa31-fe2b8ac1a021?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
